,District,Active Cases,Recovered,Confirmed,Deaths
441,Sehore,6,10057,10136,73
442,Seoni,7,6739,6774,28
443,Shahdol,4,9958,10080,118
444,Shajapur,2,6273,6349,74
445,Sheopur,1,3919,3998,78
446,Shivpuri,7,12261,12393,125
447,Sidhi,0,9132,9219,87
448,Singrauli,5,8706,8793,82
449,Tikamgarh,7,6742,6863,114
450,Ujjain,4,18720,18896,172
451,Umaria,6,6224,6293,63
452,Vidisha,4,11677,11918,237
454,Aizawl,8728,22888,31751,135
455,Champhai,209,490,700,1
456,Hnahthial,13,103,116,0
457,Khawzawl,1,108,109,0
458,Kolasib,940,2852,3809,17
459,Lawngtlai,363,2450,2821,8
460,Lunglei,515,3016,3534,3
461,Mamit,429,1031,1462,2
462,Saiha,183,758,942,1
463,Saitual,15,205,222,2
464,Serchhip,18,833,854,3
465,Others,0,0,0,0
466,Dimapur,422,11973,13335,940
467,Kiphire,14,205,228,9
468,Kohima,352,8167,8765,246
469,Longleng,39,209,262,14
470,Mokokchung,226,1627,1950,97
471,Mon,23,1046,1098,29
472,Peren,90,773,873,10
473,Phek,13,444,476,19
474,Tuensang,67,904,985,14
475,Wokha,39,265,326,22
476,Zunheboto,66,488,577,23
477,State Pool,762,26418,27180,0
478,Others,0,0,0,0
479,Angul,212,42565,43056,279
480,Balangir,36,23070,23218,112
481,Balasore,526,37831,38584,227
482,Bargarh,62,30407,30775,306
483,Bhadrak,310,25311,25719,98
484,Boudh,20,12402,12528,106
485,Cuttack,1209,86580,88249,460
486,Deogarh,30,6141,6213,42
487,Dhenkanal,158,18939,19231,134
488,Gajapati,16,9432,9531,83
489,Ganjam,38,32994,33502,470
490,Jagatsinghpur,496,25478,26084,110
491,Jajpur,533,41106,41724,85
492,Jharsuguda,27,23429,23624,168
493,Kalahandi,33,23936,24172,203
494,Kandhamal,73,11243,11397,81
495,Kendrapara,256,23325,23736,155
496,Kendujhar,114,20273,20534,147
497,Khordha,3456,149151,153972,1365
498,Koraput,48,18762,18883,73
499,Malkangiri,41,11433,11522,48
500,Mayurbhanj,294,38480,39008,234
501,Nabarangapur,21,23385,23472,66
502,Nayagarh,249,22414,22829,166
503,Nuapada,23,22706,22812,83
504,Puri,425,43180,44013,408
505,Rayagada,101,19625,19887,161
506,Sambalpur,99,30327,30621,195
507,Subarnapur,50,13000,13098,48
508,Sundargarh,95,60236,60901,570
509,Amritsar,32,45499,47118,1587
510,Barnala,14,5656,5912,242
511,Bathinda,34,40474,41547,1039
512,Faridkot,8,13515,13836,313
513,Fatehgarh Sahib,7,8499,8797,291
514,Fazilka,44,19614,20184,526
515,Ferozepur,13,13733,14245,499
516,Gurdaspur,9,21440,22246,797
517,Hoshiarpur,23,29673,30674,978
518,Jalandhar,61,61611,63162,1490
519,Kapurthala,13,17205,17771,553
520,Ludhiana,99,85207,87401,2095
521,Mansa,1,15263,15575,311
522,Moga,16,8379,8628,233
523,Pathankot,22,18169,18607,416
524,Patiala,34,47377,48752,1341
525,Rupnagar,9,12454,12880,417
526,S.A.S. Nagar,46,67402,68505,1057
527,Sangrur,9,14816,15693,868
